,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME,BDIY,DEL,VRP,VIX,PTB,IC,LOAN,BER,NYSEADV
1990-06-01,10.31,3.98,9.33,0,17.561590606509398,601.120841796315,0.016519703,0.0475902646621886,0.982524272,0,0,20.4551406865463,1,363.16,361.21,363.52,361.26,16.75865251,21.67,0.98,1,0,0.0012403103259636301,26.5527019722555,0.031690384,8.28,7.68,-0.013144929181853,5.3,1245.0,0.515000000000001,8.454,92.99,0.010769293999999999,53.7,50.9,50.0,34320.0,5.285169283,31260.0,1301.0,5.0,0.0221815587965568,17.09,2.1269,41.4578,56.9,3.982802159,978.0
1990-06-04,10.23,3.98,9.3,0,17.765946391590898,601.120841796315,0.016519703,0.0475902646621886,1.0990256859999998,0,0,20.6966627735797,0,367.4,362.43,367.85,363.16,16.95431472,21.67,0.93,0,0,0.0009302327444727231,26.856564871203698,0.031358437999999995,8.28,7.7,-0.0166431845396794,5.3,1245.0,0.49199999999999894,8.44,92.68,0.010769293999999999,53.7,50.9,50.0,33300.0,8.61416386,53460.0,1302.0,5.0,0.0266052617442948,18.39,2.1518,41.6555,56.9,3.977837977,1105.0
1990-06-05,10.21,3.98,9.26,0,17.7285169756687,601.120841796315,0.016519703,0.0475902646621886,1.029497535,0,0,20.656552471198896,0,366.64,365.49,368.78,367.4,16.91924319,21.67,0.9500000000000011,0,0,0.00062015516298182,26.794956322909197,0.031328906000000004,8.27,7.7,-0.0018777411298845899,5.3,1245.0,0.504999999999999,8.463,92.59,0.010769293999999999,53.7,50.9,50.0,53040.0,6.784637797999999,31560.0,1305.0,5.0,0.0289740929619049,18.97,2.147,41.5025,56.9,3.98599342,774.0
1990-06-06,10.21,3.98,9.26,0,17.6466069744903,601.120841796315,0.016519703,0.0475902646621886,1.014950273,0,0,20.5646040220025,0,364.96,364.42,366.64,366.64,16.84171666,21.67,0.9500000000000011,0,0,0.00031007758149091,26.666182317735895,0.031509453,8.22,7.7,-0.000978960188977152,5.3,1245.0,0.513,8.459,92.61,0.010769293999999999,53.7,50.9,50.0,40860.0,5.442272316,30660.0,1302.0,5.0,0.0232602160692916,17.42,2.137,41.4282,56.9,3.984575082,656.0
1990-06-07,10.22,3.98,9.28,0,17.5584182376665,601.120841796315,0.016519703,0.0475902646621886,0.992792303,0,0,20.4653182965445,0,363.15,361.6,365.92,364.97,16.75819105,21.67,0.9400000000000011,0,0,0.0,26.5280072384539,0.031690706,8.25,7.7,-0.00150679711873131,5.3,1245.0,0.48600000000000104,8.451,92.8,0.010769293999999999,51.7,50.1,49.5,42600.0,7.578083007,31440.0,1297.0,5.0,0.0212650285109512,16.88,2.1304,41.5369,56.9,3.9817384060000003,638.0
1990-06-08,10.21,3.98,9.26,0,17.3430802974374,601.120841796315,0.016519703,0.0475902646621886,0.8855115840000001,0,0,20.217805796589104,0,358.71,357.68,363.49,363.15,16.55329949,21.67,0.9500000000000011,0,0,0.0,26.198101105219603,0.031776672,8.26,7.7,0.0108211792902809,5.3,1245.0,0.512,8.472000000000001,93.08,0.010769293999999999,51.7,50.1,49.5,45120.0,8.336594149,31320.0,1278.0,5.0,0.0236480222794973,17.58,2.1044,42.0464,56.9,3.98918468,458.0
1990-06-11,10.21,3.98,9.25,0,17.4835905018946,601.120841796315,0.016519703,0.0475902646621886,0.832615385,0,0,20.385088450269198,0,361.63,357.7,361.63,358.71,16.68804799,21.67,0.9600000000000011,0,0,0.0,26.405477539117197,0.031888062,8.26,7.73,-0.014037929338578002,5.3,1245.0,0.49700000000000105,8.476,92.93,0.010769293999999999,51.7,50.1,49.5,30960.0,6.533589772999999,41700.0,1264.0,5.0,0.0193798915523645,16.34,2.1265,42.0977,56.9,3.9906030180000003,918.0
1990-06-12,10.22,3.98,9.24,0,17.7062766495116,601.120841796315,0.016519703,0.0475902646621886,0.8804314670000001,0,0,20.6482223319478,0,366.25,361.15,367.27,361.63,16.90124596,21.67,0.98,0,0,0.0,26.736756837518502,0.031473939,8.23,7.73,-0.0222825423072506,5.3,1245.0,0.491,8.481,92.94,0.010769293999999999,51.7,50.1,49.5,38040.0,10.76800248,52620.0,1254.0,5.0,0.0204502503274697,16.6,2.1549,42.4181,56.9,3.99237594,1003.0
1990-06-13,10.19,3.98,9.23,1,17.640339005116697,601.120841796315,0.016519703,0.0427280184541541,0.924454934,0,0,20.5748176215751,0,364.9,364.51,367.09,366.25,16.83894785,21.67,0.959999999999999,0,0,-0.00388979696642764,26.632202205960198,0.03159704,8.61,7.67,-0.0168295766468039,5.3,1245.0,0.48100000000000004,8.395,92.54,0.010769293999999999,51.7,50.1,49.5,53400.0,8.507488873,49320.0,1243.0,5.0,0.0234536567523344,17.38,2.1469,42.4959,56.9,3.961881675,722.0
1990-06-14,10.16,3.98,9.16,0,17.5429852061375,601.120841796315,0.016519703,0.0427280184541541,0.931444432,0,0,20.4647531240916,0,362.9,361.64,364.9,364.9,16.74665436,21.67,1.0,0,0,-0.00291734772482073,26.480318073981298,0.031776412000000004,8.29,7.66,-0.007523089494166891,5.3,1245.0,0.451,8.363,92.73,0.010769293999999999,51.7,50.1,49.5,37200.0,6.473394248,30660.0,1232.0,5.0,0.0235483130080556,17.4,2.1365,42.4667,56.9,3.950534972,560.0
